species,family,order
Anguilla bengalensis,Anguillidae,Anguilliformes
Monopterus cuchia,Ophichthidae,Anguilliformes
Pisodonophis boro,Ophichthidae,Anguilliformes
Xenentodon cancila,Belonidae,Beloniformes
Corica soborna,Clupeidae,Clupeiformes
Gonialosa manmina,Clupeidae,Clupeiformes
Gudusia chapra,Clupeidae,Clupeiformes
Gudusia variegata,Clupeidae,Clupeiformes
Tenualosa ilisha,Clupeidae,Clupeiformes
Tenualosa toil,Clupeidae,Clupeiformes
Setipinna phasa,Engraulididae,Clupeiformes
Setipinna taty,Engraulididae,Clupeiformes
Aborichthys elongatus,Balitoridae,Cypriniformes
Aborichthys kempi,Balitoridae,Cypriniformes
Acanthocobitis botia,Balitoridae,Cypriniformes
Balitora brucei,Balitoridae,Cypriniformes
Neonoemacheilus assamensis,Balitoridae,Cypriniformes
Nemacheilus corica,Balitoridae,Cypriniformes
Schistura beavani,Balitoridae,Cypriniformes
Schistura fasciata,Balitoridae,Cypriniformes
Schistura multifasciata,Balitoridae,Cypriniformes
Schistura savona,Balitoridae,Cypriniformes
Schistura scaturigina,Balitoridae,Cypriniformes
Schistura tirapensis,Balitoridae,Cypriniformes
Botia almorhae,Cobitidae,Cypriniformes
Botia birdi,Cobitidae,Cypriniformes
Botia dario,Cobitidae,Cypriniformes
Botia lohachata,Cobitidae,Cypriniformes
Botia histrionic,Cobitidae,Cypriniformes
Botia rostrata,Cobitidae,Cypriniformes
Canthophrys gongota,Cobitidae,Cypriniformes
Lepidocephalichthys annandalei,Cobitidae,Cypriniformes
Lepidocephalichthys arunachalensis,Cobitidae,Cypriniformes
Lepidocephalichthys berdmorei,Cobitidae,Cypriniformes
Lepidocephalichthys goalparensis,Cobitidae,Cypriniformes
Lepidocephalichthys guntea,Cobitidae,Cypriniformes
Lepidocephalichthys irrorata,Cobitidae,Cypriniformes
Lepidocephalichthys manipurensis,Cobitidae,Cypriniformes
Pangio pangio,Cobitidae,Cypriniformes
Somileptes gongota,Cobitidae,Cypriniformes
