scientific_name,common_name,local_name,family,order,max_size,habitat,iucn_status,human_use,source,water_type,region,season,temp_min,temp_max,ph_min,ph_max,stocking_density_per_ha,growth_duration_months,category,feeding_habit,market_value,is_native,data_quality,temp_avg,ph_avg,temp_range,data_source,completeness_score,temp_score
Anguilla bengalensis,Indian Mottled Eel,Ban,Anguillidae,Anguilliformes,200 cm,"Freshwater, Brackish",NT,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Monopterus cuchia,,Kuchia,Synbranchidae,Synbranchiformes,70 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Pisodonophis boro,,Kucho,Ophichthidae,Anguilliformes,100 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Xenentodon cancila,Freshwater Garfish,Kakia,Belonidae,Beloniformes,40 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Corica soborna,,Kachki,Clupeidae,Clupeiformes,4.1 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Gonialosa manmina,,Khoira,Clupeidae,Clupeiformes,14.1 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Gudusia chapra,Indian River Shad,Khaira,Pristigasteridae,Clupeiformes,20 cm,"Freshwater, Brackish",EN,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Gudusia variegata,,Khoira,Pristigasteridae,Clupeiformes,16 cm,Freshwater,LC,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Setipinna phasa,,Phesa,Engraulidae,Clupeiformes,40.0 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Setipinna taty,,Phansa,Engraulidae,Clupeiformes,15.3 cm,"Freshwater, Brackish",NE,Food,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Aborichthys elongatus,,Gutum,Balitoridae,Cypriniformes,7.4 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Aborichthys kempi,,,Balitoridae,Cypriniformes,8.1 cm,Freshwater,NT,Ornamental,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,4,5
Acanthocobitis botia,,Natwa,Cobitidae,Cypriniformes,11.0 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Balitora brucei,,Balitora,Balitoridae,Cypriniformes,10.5 cm,Freshwater,NT,Ornamental,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
Neonoemacheilus assamensis,,,Balitoridae,Cypriniformes,4.3 cm,Freshwater,NT,Ornamental,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,4,5
Nemacheilus corica,,Koirka,Cobitidae,Cypriniformes,4.2 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_1,,,,,,,,,,,,,,,,,,auto,5,5
