species,field,old,new
Neolissochilus hexastichus,local_name,,Katli
Neolissochilus hexastichus,max_size,,120.0 cm
Channa andrao,local_name,,Cheng
Channa andrao,max_size,,28.0 cm
Mystus dibrugarensis,local_name,,Tangra
Mystus dibrugarensis,max_size,,19.5 cm
Batasi tangra,local_name,,Tangra
Batasi tangra,max_size,,19.5 cm
Rahara and,local_name,,Tinkata
Rahara and,max_size,,9.4 cm
"Pethia
narayani",local_name,,Punti
"Pethia
narayani",max_size,,5.55 cm
Amblypharyngodon molla,local_name,,Mourala
Amblypharyngodon molla,max_size,,15.0 cm
Tor mosal,local_name,,Mahasol
Tor mosal,max_size,,237.5 cm
Puntius sarana,local_name,,Chela Punti
Puntius sarana,max_size,,10.0 cm
Rita chrysea,local_name,,Rita
Rita chrysea,max_size,,88.0 cm
Puntius gonionotus,local_name,,Chela Punti
Puntius gonionotus,max_size,,10.0 cm
Channa striatus,local_name,,Cheng
Channa striatus,max_size,,28.0 cm
Horabagrus brachysoma,local_name,,Tangra
Horabagrus brachysoma,max_size,,19.5 cm
Mystus aor,local_name,,Tangra
Mystus aor,max_size,,19.5 cm
Tor khudree,local_name,,Mahasol
Tor khudree,max_size,,237.5 cm
Puntius pulchellus,local_name,,Chela Punti
Puntius pulchellus,max_size,,10.0 cm
Puntius javanicus,local_name,,Chela Punti
Puntius javanicus,max_size,,10.0 cm
Channa stewartia,local_name,,Cheng
Channa stewartia,max_size,,28.0 cm
Serratia marcescens,local_name,,Tangra
Serratia marcescens,max_size,,19.5 cm
"Rahara
and",local_name,,Tinkata
"Rahara
and",max_size,,9.4 cm
