scientific_name,common_name,local_name,family,order,max_size,habitat,iucn_status,human_use,source,water_type,region,season,temp_min,temp_max,ph_min,ph_max,stocking_density_per_ha,growth_duration_months,category,feeding_habit,market_value,is_native,data_quality,temp_avg,ph_avg,temp_range,data_source,completeness_score,temp_score
Neolissochilus hexastichus,,,Cyprinidae,Cypriniformes,,Freshwater,NT,Ornamental,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,3,5
Amblypharyngodon molla,,,Cyprinidae,Cypriniformes,,Freshwater,LC,,AnnualReport_2016-17_table_298.csv,,,,,,,,,,,,,,,,,,auto,3,5
Puntius sarana,,,Cyprinidae,Cypriniformes,,Freshwater,LC,,AnnualReport_2016-17_table_51.csv,,,,,,,,,,,,,,,,,,auto,3,5
Rita chrysea,,,Bagridae,Siluriformes,,Freshwater,LC,,AnnualReport_2016-17_table_51.csv,,,,,,,,,,,,,,,,,,auto,3,5
Puntius gonionotus,,,Cyprinidae,Cypriniformes,,Freshwater,LC,,AnnualReport_2016-17_table_60.csv,,,,,,,,,,,,,,,,,,auto,3,5
Anabas testudineus,Climbing Perch,,Anabantidae,Anabantiformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Channa striatus,,,Channidae,Channiformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Etroplus suratensis,,,Cichlidae,Cichliformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Horabagrus brachysoma,,,Bagridae,Siluriformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Mystus aor,,,Bagridae,Siluriformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Tor khudree,,,Cyprinidae,Cypriniformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Puntius pulchellus,,,Cyprinidae,Cypriniformes,,Freshwater,LC,,AnnualReport_2016-17_table_72.csv,,,,,,,,,,,,,,,,,,auto,3,5
Puntius javanicus,,,Cyprinidae,Cypriniformes,,Freshwater,LC,,AnnualReport_2016-17_table_88.csv,,,,,,,,,,,,,,,,,,auto,3,5
