"Collectors of
Freshwater Fishes","List of collecting stations of Freshwater Fishes [Habitat, Locality and Geographical co-ordinates]","No. of
Species",source_page,source_file,"Order, Family, Species",Local Name,Environment,"Maximum size
(TL)",Human Use,"IUCN
Status","Barilius shacra (Hamilton, 1822)",Koksa,F,14.0 cm,Food,LC,"Pethia conchonius (Hamilton, 1822)",Kanchan Punti,"Ornamental,
Food",VU,"Anabas testudineus (Bloch, 1792)",Koi,"F, B",25.0 cm,DD,"Batasio fasciolatus Ng, 2006",Batasio,7.1 cm,Ornamental,"Gagata sexualis Tilak, 1970",Unnamed: 1,6.0 cm,Order,"Family
(No.)","Genera
(No.)","Species
(No.)"
Mishra et al. [6],"Tributaries of main rivers, rivers, irrigation canals, natural ponds, innundated lowland from Midnapore,
Bankura a.nd Hooghly Districts [22-23.3°N; 86-88.3°E]",103.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhakta and
Bandyopadhyay [7]",Churni River at Chakdaha in the district of Nadia [23ºN and 88.5ºE],8.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhakta and
Bandyopadhyay [8]","Ten perennial pond of Ramnagar, East Midnapore district [21.8°N and 87.8°E]",45.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chakraborty and
Bhattacharjee [9]","Major rivers, like Atrai, Punarbhaba, Tangan, Jamuna, in minor rivers, like Ichhamoti, and in kharis
like, Kalkali, Kashiani and Brahmani. Beels visited were Danga and Gochina in south Dinajpur district",49.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patra and Datta [10],"Karala river, a tributary of Teesta river at Jalpaiguri district [26º47'13''N, 88º32'17''E Aquiduct;
26º31'51''N, 88º43'23''E Hakimpara; 26º28'42''N, 88º44'27''E Daspara]",31.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patra et al. [11],"Karala river, a tributary of Teesta river at Jalpaiguri district [26°47'13"" N, 88°32'17"" E, Aquiduct;
26°31'51"" N, 88°43'23"" E Hakim Para; 26°28'42"" N, 88°44'27""E, Daspara]",55.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saha [12],"Ten perennial ponds and Mundaswari River in the Khanakul, Hooghly district",17.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saha and Patra [13],"Damodar River, Burdwan district [23°12'44.82˝ N, 87°51'2.75˝ E Krisak setu; 23°10'10.51˝ N,
87°58'0.046˝ E Barsul; 23°9'37.45˝ N, 87°59'0.082˝ E Palla]",46.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandyopadhyay and
Mondal [14]","Teesta, Torsa, Kaljani, Radak - I, Raidak - II, Sankosh rivers in Darjeeling and Jalpaiguri districts
[88º6'- 89º54' E and 26º30'-27º13' N]",78.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bera et al. [15],"Kangsabati Reservoir in Bankura District [22º55’16.53’’N–23º2’30.41’’N and 86º37’55.30’’E–
86º47’23.35’’E]",39.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kundu et al. [16],"Mahananda, Tangon and Punarbhaba are tributary of Terai rivers",50.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahapatra and Lakra
[17]",East Kolkata Wetlands in mature delta of Ganges River [22°25’ to 22°40’ Nand 88°2 0’ to 88°35’ E],41.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das [18],"Tributaries of Torsa river: Ghargharia, Kaljani, Khutamara, Char Torsa and Siltorsa [Torsa river
starting at Jaigaon (26°44'32''N and 89°19'27''E); Kaljani river at Mohona (26°16'52''N and
89°34'57''E)]",105.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dey et al. [19],"Ghargharia river, a tributary of the Torsa river in Coochbehar district [25°57′47″ to 26°36′2″ N and
89°54′35″ to 88°47′44″ E]",46.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dey et al. [20],"River Kaljani in Cooch Behar District [Amlaguri (26°34’ N - 89°58’ E), Chhatoa (26°32’ N - 89°58’
E), Jaigir Chilakhana (26°31’ N - 89°58’ E), Chhat Bhelakopa (26°29’ N - 89°58’ E)]",138.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubey et al. [21],"Sundarban Biosphere Reserve, South 24 Parganas district [21°40'N - 22°40'N, and 88°03'E - 89°07'E]",62.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondal and Patra [22],"Mukutmanipur, Panchet, Murguma, Kuki Dams and Kansai River in Purulia district",52.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nath and Patra [23],"Hooghly River stretch in Hooghly Dist [Serampore (N 22º45.803/ E 88º20.879) to Tribeni
(N22º59.728/E 88º24.525)]",87.0,2,FreshwaterfishdiversityofWestBengal_table_0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Order: Anguilliformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Anguillidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Anguilla bengalensis (Gray, 1831)",Ban,"F, B, M",200 cm,Food,NT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Ophichthidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Monopterus cuchia (Hamilton, 1822)",Kuchia,"F, B",70 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Pisodonophis boro (Hamilton, 1822)",Kucho,"F, B, M",100 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Order: Beloniformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Belonidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Xenentodon cancila (Hamilton, 1822)",Kakia,"F, B, M",40 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Order: Clupeiformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Clupeidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Corica soborna Hamilton, 1822",Kachki,"F, B, M",4.1 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Gonialosa manmina (Hamilton, 1822)",Khoira,"F, B",14.1 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Gudusia chapra (Hamilton, 1822)",Khaira,"F, B",20 cm,Food,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Gudusia variegata (Day, 1870)",Khoira,F,16 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Tenualosa ilisha (Hamilton, 1822)",Ilishmach,"F, B, M",60 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Tenualosa toil (Valenciennes, 1847)",Chandan Ilish,"F, B, M",60 cm,Food,NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Engraulididae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Setipinna phasa (Hamilton, 1822)",Phesa,"F, B, M",40.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Setipinna taty (Valenciennes, 1848)",Phansa,"F, B, M",15.3 cm,Food,NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Order: Cypriniformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Balitoridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Aborichthys elongatus Hora, 1921",Gutum,F,7.4 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Aborichthys kempi Chaudhuri, 1913",,F,8.1 cm,Ornamental,NT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Acanthocobitis botia (Hamilton, 1822)",Natwa,F,11.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Balitora brucei Gray, 1830",Balitora,F,10.5 cm,Ornamental,NT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Neonoemacheilus assamensis (Menon, 1987)",,F,4.3 cm,Ornamental,NT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Nemacheilus corica (Hamilton, 1822)",Koirka,F,4.2 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
